question,level
Explain the various rating systems related to Green Building.,Comprehension
Differentiate between transmission and distribution system.,Analysis
Describe any three specification of ADC.,Comprehension
Discuss the different types of threads used in power screw.,Knowledge
State the types of flat terraced roofing and explain any one of them.,Knowledge
Design primary school for 6 class room the building is single story and RCC frame the structure following details.,Application
Write down the steps in executing on an interrupt.,Knowledge
Is it possible to estimate software size before coding?,Analysis
What do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,Knowledge
Explain injection moulding process with suitable sketch.,Comprehension
Explain the concept of circular queue with an example.,Comprehension
Explain in brief exploration methods in production of crude petroleum.,Knowledge
What is Lattice?,Knowledge
Design and implement Full Subtractor using PAL?,Application
What are the fundamental requirements of residential building?,Knowledge
Discuss DHCP protocol in details.,Knowledge
A plane element is subjected to stresses as shown in figure 6.,Application
Write a program in C language assign highest priority to INT 1 interrupt.,Application
Explain brass and its types with suitable examples.,Knowledge
Define field with an example.,Knowledge
What are the steps in design in animation sequence?,Knowledge
Describe the procedure for Vane Shear Test.,Knowledge
In a certain company install 2000 LED bulbs on each floor.,Application
Discuss in detail with a case history how geological investigations have helped for proper site of Dam.,Analysis
Explain the operation of a precision full wave rectifier with necessary waveforms.,Knowledge
Define control valve.,Knowledge
Obtain the expression for state transition matrix using Laplace transform method and state any four properties of state transition matrix.,Comprehension
Draw interfacing diagram of ADC and draw a flow chart to read ADC.,Comprehension
Explain the representation of polynomial using GLL.,Analysis
State and write properties of materials used for solders and materials used for different types of fuses.,Knowledge
Explain stream classes hierarchy for file handling in C++.,Knowledge
What is Software Reuse?,Knowledge
Define steel?,Knowledge
Differentiate between particulate fluidization and aggregative fluidization.,Analysis
What is high pass filter?,Knowledge
Explain the Gauss Jordan method used for the solution of the linear simultaneous equation.,Knowledge
State various methods of rapid prototype.,Knowledge
How do you measure flow using an electromagnetic flow meter?,Application
How O.,Comprehension
Explain dynamic branch prediction and delayed branch prediction for MIPS pipeline with suitable diagram and example.,Comprehension
Determine the plastic moment at collapse for the continuous beam ABCD loaded with ultimate load as shown in figure with contant Mp.,Analysis
What is lead wire compensations for RTD?,Knowledge
Write in brief advantages and disadvantages of wind energy.,Knowledge
A piston filled with 0.,Knowledge
State any 4 use of single phase induction motor?,Knowledge
Use minimum 8 functions of vector STL.,Knowledge
Explain in details IEEE Standards for Representing floating point Numbers in following formats.,Comprehension
Write note on CLK2 and Internal processor clock.,Comprehension
Types of shrinkage in concrete.,Knowledge
Explain Serial port structure of 8051 microcontroller.,Knowledge
State and explain factors affecting shear strength of cohesive and cohesionless soil.,Knowledge
Explain any four extrusion process variables with sketch.,Knowledge
What is table overflow and how it is handled using extendible hashing?,Knowledge
Waht is sequential file organization?,Knowledge
With the help of neat diagram explain working of IC 555 as a Astable Multivibrator.,Knowledge
A 250 V d.,Application
What is dynamic data structure.,Knowledge
Derive 3D transformation matrix for rotation about a principal axis.,Analysis
Find the Fourier Transform of the signum function.,Application
What is LANDSLIDE?,Knowledge
Explain control valve characteristics with neat sketch in brief.,Knowledge
State following statements are True of False.,Knowledge
List the desirable properties of decompostion.,Knowledge
Describe various types of allowances used in time study.,Knowledge
Draw powerflow diagram of DC motor write the respective expressions of Power and losses involved.,Comprehension
What is stream?,Knowledge
A transmission line has a span of 220 m between level supports.,Knowledge
Write  short note on shaded pole induction motor.,Comprehension
Write a program in C language to generate a square wave form on pin 5 of port 1.,Application
State different objective of D.,Knowledge
Derive an expression of velocity and shear stress distribution for laminar flow through pipe.,Analysis
Give any 3 points of comparison between 1 wattmeter method and 2 Wattmeter method for measurement of active power in a 3 phase circuit.,Analysis
Explain in brief main classes of soaps.,Knowledge
Describe the fuel cell.,Comprehension
Explain the working of circular queue.,Knowledge
Define with an example:,Knowledge
Explain grid connected wind energy conversion system with the help of neat diagram.,Knowledge
What question needs to be answered in order to develop a project plan according to W5HH principle?,Analysis
Explain in detail about writing console output in Java with suitable example.,Comprehension
Explain the principle of autoclaving with its applications.,Analysis
How multiple inheritance can be implemented using interface?,Application
Explain RIP message format in detail.,Analysis
A committee including 3 boys and 4 girls is to be formed from a group of 10 boys and 12 girls.,Knowledge
How virtual Memory is managed using paging.,Comprehension
With the help of neat diagram explain working of single phase HWR with R load.,Knowledge
Define durability of concrete.,Knowledge
What is Equilibrium diagram?,Knowledge
Explain structural error related to synthesis of mechanism.,Knowledge
What is threaded binary search tree.,Comprehension
Explain with diagram the operation of an adjustable voltage regulater using IC LM 317.,Knowledge
What is file pointer? Write a note on file opening & file closing.,Knowledge
